x,phi
93.875,3.0707834750272223e-54
94.125,5.293545104676465e-54
94.375,9.116981655873022e-54
94.625,1.5687793336358076e-53
94.875,2.6969831165772e-53
95.125,4.632329660611484e-53
95.375,7.949225613237063e-53
95.625,1.3628673649807101e-52
95.875,2.334452458899415e-52
96.125,3.9950150176777815e-52
96.375,6.830508010586802e-52
96.625,1.1667775522449804e-51
96.875,1.9912365711123074e-51
97.125,3.395131903673249e-51
97.375,5.783472847452172e-51
97.625,9.842791088349259e-51
97.875,1.6735728005406665e-50
98.125,2.842935342009268e-50
98.375,4.824859191194056e-50
98.625,8.180820164682914e-50
98.875,1.385807293379316e-49
99.125,2.3453188021386292e-49
99.375,3.965456807620031e-49
99.625,6.698477566332347e-49
99.875,1.1304458997705056e-48
100.125,1.905958750607872e-48
100.375,3.210454320647861e-48
100.625,5.4026647576335666e-48
100.875,9.083167312857084e-48
101.125,1.5256454512874088e-47
101.375,2.560095540245184e-47
101.625,4.2918468477701233e-47
101.875,7.188147570529462e-47
102.125,1.2027454267206093e-46
102.375,2.010544268050746e-46
102.625,3.3576544142000106e-46
102.875,5.6019600847995586e-46
103.125,9.337377502008306e-46
103.375,1.5548551826736455e-45
103.625,2.5866300758426483e-45
103.875,4.2988993426137896e-45
104.125,7.137695740296836e-45
104.375,1.183956679501077e-44
104.625,1.9619586122130253e-44
104.875,3.2480248398187197e-44
105.125,5.37184574730267e-44
105.375,8.875679987159162e-44
105.625,1.4650514135314796e-43
105.875,2.4158860247540863e-43
106.125,3.979894667636083e-43
106.375,6.5499425365940804e-43
106.625,1.0768950727804948e-42
106.875,1.7687990243155652e-42
107.125,2.902364817356942e-42
107.375,4.757657035274574e-42
107.625,7.79114148837794e-42
107.875,1.2746034393478459e-41
108.125,2.0831201599528935e-41
108.375,3.401089053692433e-41
108.625,5.547347019024873e-41
108.875,9.03889864385308e-41
109.125,1.4713220752681188e-40
109.375,2.392551185754523e-40
109.625,3.8866476907586604e-40
109.875,6.307376581359252e-40
110.125,1.0225420861925632e-39
110.375,1.6560432025766937e-39
110.625,2.6792878012355384e-39
110.875,4.330354968265778e-39
111.125,6.991707438888574e-39
111.375,1.1277109721589577e-38
111.625,1.8170478453413872e-38
111.875,2.9247456714395915e-38
112.125,4.702861888729381e-38
112.375,7.554189981935213e-38
112.625,1.2121722173653792e-37
112.875,1.943079983523496e-37
113.125,3.111473752622748e-37
113.375,4.977255085917511e-37
113.625,7.953552102071813e-37
113.875,1.269635377853259e-36
114.125,2.0246163158095967e-36
114.375,3.225161441251557e-36
114.625,5.1322094413114814e-36
114.875,8.158318286848527e-36
115.125,1.2955060745387675e-35
115.375,2.055038541232306e-35
115.625,3.2564271704072003e-35
115.875,5.154693180027837e-35
116.125,8.150861108216039e-35
116.375,1.2874861231018099e-34
116.625,2.031511009933639e-34
116.875,3.202082600095e-34
117.125,5.041755421080448e-34
117.375,7.929870140613647e-34
117.625,1.2459040548850464e-33
117.875,1.9554040436448527e-33
118.125,3.0656386779144687e-33
118.375,4.8010600071292874e-33
118.625,7.510764961672692e-33
118.875,1.1737111726879545e-32
119.125,1.832177283337058e-32
119.375,2.8569464206646666e-32
119.625,4.4500429248376784e-32
119.875,6.92393470431772e-32
120.125,1.0761369442505364e-31
120.375,1.6707331393622754e-31
