time_s,S2_M,I2_M,S2_tot_M
9660.0,1.535775257133303e-05,3.801332038408408e-164,1.572304830543589e-05
9720.0,1.5380896435494132e-05,3.801332038408408e-164,1.5739733109465508e-05
9780.0,1.54036310761239e-05,3.801332038408408e-164,1.5756122897313856e-05
9840.0,1.5425963729001864e-05,3.801332038408408e-164,1.5772222885377066e-05
9900.0,1.5447901501966467e-05,3.801332038408408e-164,1.5788038197816372e-05
9960.0,1.5469451377177274e-05,3.801332038408408e-164,1.5803573868188966e-05
10020.0,1.5490620213337203e-05,3.801332038408408e-164,1.5818834841050064e-05
10080.0,1.5511414747875442e-05,3.801332038408408e-164,1.5833825973526583e-05
10140.0,1.553184159909179e-05,3.801332038408408e-164,1.5848552036863045e-05
10200.0,1.5551907268263054e-05,3.801332038408408e-164,1.586301771794013e-05
10260.0,1.557161814171223e-05,3.801332038408408e-164,1.5877227620766332e-05
10320.0,1.559098049284109e-05,3.801332038408408e-164,1.5891186267943348e-05
10380.0,1.561000048412681e-05,3.801332038408408e-164,1.590489810210545e-05
10440.0,1.562868416908331e-05,3.801332038408408e-164,1.591836748733345e-05
10500.0,1.5647037494187925e-05,3.801332038408408e-164,1.593159871054366e-05
10560.0,1.566506630077399e-05,3.801332038408408e-164,1.5944595982852315e-05
10620.0,1.5682776326889966e-05,3.801332038408408e-164,1.5957363440915828e-05
10680.0,1.57001732091257e-05,3.801332038408408e-164,1.5969905148247372e-05
10740.0,1.5717262484406385e-05,3.801332038408408e-164,1.5982225096510184e-05
10800.0,1.5734049591754797e-05,3.801332038408408e-164,1.5994327206788e-05
10860.0,1.5750539874022393e-05,3.801332038408408e-164,1.6006215330833007e-05
10920.0,1.5766738579589775e-05,3.801332038408408e-164,1.6017893252291754e-05
10980.0,1.5782650864037104e-05,3.801332038408408e-164,1.602936468790938e-05
11040.0,1.579828179178497e-05,3.801332038408408e-164,1.604063328871255e-05
11100.0,1.5813636337706258e-05,3.801332038408408e-164,1.6051702641171465e-05
11160.0,1.5828719388709486e-05,3.801332038408408e-164,1.6062576268341317e-05
11220.0,1.5843535745294188e-05,3.801332038408408e-164,1.607325763098361e-05
11280.0,1.585809012307877e-05,3.801332038408408e-164,1.6083750128667595e-05
11340.0,1.5872387154301344e-05,3.801332038408408e-164,1.609405710085225e-05
11400.0,1.5886431389294048e-05,3.801332038408408e-164,1.6104181827949165e-05
11460.0,1.5900227297931284e-05,3.801332038408408e-164,1.6114127532366566e-05
11520.0,1.591377927105234e-05,3.801332038408408e-164,1.6123897379534937e-05
11580.0,1.5927091621858878e-05,3.801332038408408e-164,1.6133494478914472e-05
11640.0,1.5940168587287698e-05,3.801332038408408e-164,1.6142921884984745e-05
11700.0,1.5953014329359234e-05,3.801332038408408e-164,1.615218259821684e-05
11760.0,1.5965632936502194e-05,3.801332038408408e-164,1.6161279566028334e-05
11820.0,1.5978028424854804e-05,3.801332038408408e-164,1.6170215683721347e-05
11880.0,1.599020473954303e-05,3.801332038408408e-164,1.617899379540407e-05
11940.0,1.6002165755936175e-05,3.801332038408408e-164,1.618761669489594e-05
12000.0,1.6013915280880327e-05,3.801332038408408e-164,1.6196087126616836e-05
12060.0,1.6025457053909944e-05,3.801332038408408e-164,1.6204407786460543e-05
12120.0,1.603679474843806e-05,3.801332038408408e-164,1.6212581322652796e-05
12180.0,1.6047931972925402e-05,3.801332038408408e-164,1.62206103365941e-05
12240.0,1.6058872272028883e-05,3.801332038408408e-164,1.622849738368772e-05
12300.0,1.6069619127729744e-05,3.801332038408408e-164,1.6236244974152964e-05
12360.0,1.6080175960441793e-05,3.801332038408408e-164,1.6243855573824133e-05
12420.0,1.6090546130099992e-05,3.801332038408408e-164,1.6251331604935294e-05
12480.0,1.610073293722985e-05,3.801332038408408e-164,1.6258675446891248e-05
12540.0,1.6110739623997888e-05,3.801332038408408e-164,1.6265889437024802e-05
12600.0,1.6120569375243505e-05,3.801332038408408e-164,1.627297587134067e-05
12660.0,1.6130225319492634e-05,3.801332038408408e-164,1.627993700524623e-05
12720.0,1.613971052995347e-05,3.801332038408408e-164,1.628677505426938e-05
12780.0,1.6149028025494568e-05,3.801332038408408e-164,1.629349219476364e-05
12840.0,1.6158180771605665e-05,3.801332038408408e-164,1.6300090564600822e-05
12900.0,1.6167171681341516e-05,3.801332038408408e-164,1.6306572263851496e-05
12960.0,1.6176003616249033e-05,3.801332038408408e-164,1.6312939355453335e-05
13020.0,1.6184679387278026e-05,3.801332038408408e-164,1.6319193865867713e-05
13080.0,1.619320175567586e-05,3.801332038408408e-164,1.6325337785724664e-05
13140.0,1.6201573433866265e-05,3.801332038408408e-164,1.6331373070456448e-05
13200.0,1.6209797086312634e-05,3.801332038408408e-164,1.6337301640919887e-05
13260.0,1.6217875330366042e-05,3.801332038408408e-164,1.6343125384007744e-05
13320.0,1.6225810737098273e-05,3.801332038408408e-164,1.6348846153249257e-05
13380.0,1.623360583212011e-05,3.801332038408408e-164,1.6354465769400055e-05
13440.0,1.6241263096385175e-05,3.801332038408408e-164,1.6359986021021665e-05
13500.0,1.6248784966979544e-05,3.801332038408408e-164,1.636540866505075e-05
13560.0,1.6256173837897387e-05,3.801332038408408e-164,1.6370735427358298e-05
13620.0,1.626343206080293e-05,3.801332038408408e-164,1.637596800329891e-05
13680.0,1.627056194577891e-05,3.801332038408408e-164,1.6381108058250405e-05
13740.0,1.6277565762061796e-05,3.801332038408408e-164,1.6386157228143816e-05
13800.0,1.6284445738764043e-05,3.801332038408408e-164,1.6391117119984104e-05
13860.0,1.6291204065583537e-05,3.801332038408408e-164,1.639598931236159e-05
13920.0,1.6297842893500528e-05,3.801332038408408e-164,1.640077535595441e-05
13980.0,1.6304364335462206e-05,3.801332038408408e-164,1.6405476774022012e-05
14040.0,1.631077046705521e-05,3.801332038408408e-164,1.641009506288999e-05
14100.0,1.6317063327166217e-05,3.801332038408408e-164,1.6414631692426316e-05
14160.0,1.632324491863086e-05,3.801332038408408e-164,1.6419088106509152e-05
14220.0,1.632931720887118e-05,3.801332038408408e-164,1.6423465723486396e-05
14280.0,1.6335282130521787e-05,3.801332038408408e-164,1.6427765936627108e-05
14340.0,1.6341141582044975e-05,3.801332038408408e-164,1.6431990114564937e-05
14400.0,1.6346897428334945e-05,3.801332038408408e-164,1.643613960173373e-05
14460.0,1.635255150131134e-05,3.801332038408408e-164,1.6440215718795408e-05
14520.0,1.6358105600502296e-05,3.801332038408408e-164,1.6444219763060323e-05
14580.0,1.6363561493617185e-05,3.801332038408408e-164,1.644815300890012e-05
14640.0,1.636892091710922e-05,3.801332038408408e-164,1.6452016708153356e-05
14700.0,1.637418557672811e-05,3.801332038408408e-164,1.645581209052392e-05
14760.0,1.6379357148062975e-05,3.801332038408408e-164,1.645954036397242e-05
