x (μm),y (μm),S2 (μM),I2 (μM),Th2 (μM)
5137.527227191147,20.0,0.1197418948474436,0.0,0.0
5140.52890691229,20.0,0.11936743725820603,0.0,0.0
5143.530586633431,20.0,0.11899193093795572,0.0,0.0
5146.532266354574,20.0,0.11861542361636558,0.0,0.0
5149.533946075715,20.0,0.11823796246250157,0.0,0.0
5152.535625796858,20.0,0.11785959407769622,0.0,0.0
5155.537305517999,20.0,0.11748036448892842,0.0,0.0
5158.538985239142,20.0,0.11710031914269471,0.0,0.0
5161.540664960283,20.0,0.11671950289937184,0.0,0.0
5164.542344681426,20.0,0.11633796002805528,0.0,0.0
5167.544024402567,20.0,0.11595573420187283,0.0,0.0
5170.54570412371,20.0,0.11557286849375764,0.0,0.0
5173.547383844851,20.0,0.11518940537267931,0.0,0.0
5176.5490635659935,20.0,0.11480538670031688,0.0,0.0
5179.5507432871345,20.0,0.11442085372817232,0.0,0.0
5182.552423008277,20.0,0.11403584709510754,0.0,0.0
5185.554102729418,20.0,0.11365040682530336,0.0,0.0
5188.555782450561,20.0,0.11326457232662324,0.0,0.0
5191.557462171702,20.0,0.11287838238937999,0.0,0.0
5194.559141892845,20.0,0.11249187518548782,0.0,0.0
5197.560821613986,20.0,0.11210508826799773,0.0,0.0
5200.562501335129,20.0,0.11171805857099863,0.0,0.0
5203.56418105627,20.0,0.11133082240988175,0.0,0.0
5206.565860777413,20.0,0.11094341548195089,0.0,0.0
5209.567540498554,20.0,0.11055587286737556,0.0,0.0
5212.569220219697,20.0,0.11016822903046972,0.0,0.0
5215.570899940838,20.0,0.1097805178212932,0.0,0.0
5218.572579661981,20.0,0.10939277247755813,0.0,0.0
5221.574259383122,20.0,0.10900502562683777,0.0,0.0
5224.575939104265,20.0,0.10861730928905966,0.0,0.0
5227.577618825406,20.0,0.10822965487928098,0.0,0.0
5230.579298546549,20.0,0.10784209321072791,0.0,0.0
5233.58097826769,20.0,0.10745465449809656,0.0,0.0
5236.582657988833,20.0,0.1070673683610978,0.0,0.0
5239.584337709974,20.0,0.10668026382824368,0.0,0.0
5242.5860174311165,20.0,0.10629336934085762,0.0,0.0
