time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
7140.0,1.7431540081475933e-08,3.838005505000286e-08,1.2041780689842458e-08,6.043036586251771e-08,1.5184541484373609e-06
7200.0,1.7275423503700103e-08,3.816567264100268e-08,1.2107714873415204e-08,6.058645888494869e-08,1.5186674534865672e-06
7260.0,1.7126074773877442e-08,3.795750942093375e-08,1.2172478772928835e-08,6.073578484367656e-08,1.5188745734731108e-06
7320.0,1.6983145784845367e-08,3.775532768615712e-08,1.2236093474245533e-08,6.087869181014756e-08,1.519075744688288e-06
7380.0,1.6846306063832634e-08,3.755890169210409e-08,1.2298579654428353e-08,6.101551022344006e-08,1.5192711915377789e-06
7440.0,1.6715242082719446e-08,3.7367861248645184e-08,1.2359957593750858e-08,6.114655357987519e-08,1.5194619473561288e-06
7500.0,1.6589656117392385e-08,3.718223056493354e-08,1.2420251849716725e-08,6.127211957920395e-08,1.5196473019235488e-06
7560.0,1.6469266633204945e-08,3.7001785669690324e-08,1.2479476050274628e-08,6.139248972520811e-08,1.519812591457317e-06
7620.0,1.6353806205190323e-08,3.6826161162181256e-08,1.253765794715327e-08,6.150793140096443e-08,1.5199734899152612e-06
7680.0,1.624302176444247e-08,3.6655237266830406e-08,1.2594815162347669e-08,6.16186976547867e-08,1.5201301048361812e-06
7740.0,1.6136674020598385e-08,3.648888028637877e-08,1.2650964515248827e-08,6.172502775594738e-08,1.5202825567543035e-06
7800.0,1.603453676471192e-08,3.6327646048431967e-08,1.2705578883617097e-08,6.18271478924761e-08,1.520430971485954e-06
7860.0,1.5936409538716762e-08,3.6170568920787284e-08,1.2759624157135343e-08,6.192525849397736e-08,1.5205755783195601e-06
7920.0,1.584208340357889e-08,3.6017486315641455e-08,1.2812775343714311e-08,6.201956847709737e-08,1.520716525393012e-06
7980.0,1.5751364831712507e-08,3.586830124078373e-08,1.2865008559806942e-08,6.211027135344129e-08,1.5208539003638822e-06
8040.0,1.5664072050961e-08,3.5722917973278376e-08,1.2916329721365831e-08,6.219754887990742e-08,1.5209877898930203e-06
8100.0,1.5580033836428765e-08,3.558123585786961e-08,1.2966750670106776e-08,6.228157226622612e-08,1.5211182853426635e-06
8160.0,1.5499088743953908e-08,3.5443150843353936e-08,1.3016285109333715e-08,6.236250294156053e-08,1.5212454813340254e-06
8220.0,1.5421084489577172e-08,3.530855774267977e-08,1.3064947441752838e-08,6.244049317518879e-08,1.5213694736431433e-06
8280.0,1.5345877401334283e-08,3.5177352009176686e-08,1.3112752312352588e-08,6.251568662482921e-08,1.521490357547921e-06
8340.0,1.5273331917257286e-08,3.5049430931912124e-08,1.3159714392492029e-08,6.258821883871166e-08,1.521608226714498e-06
8400.0,1.520332011797432e-08,3.492469437317712e-08,1.3205848266550623e-08,6.265821772301436e-08,1.5217231725084414e-06
8460.0,1.5135721287874964e-08,3.480304518590597e-08,1.3251168368772919e-08,6.272580398071082e-08,1.5218352836029184e-06
8520.0,1.5070421501309873e-08,3.468438941949405e-08,1.3295688947077041e-08,6.279109152536596e-08,1.5219446457832825e-06
8580.0,1.5007313231539514e-08,3.456863639048173e-08,1.3339424042271747e-08,6.285418787217392e-08,1.5220513418771907e-06
8640.0,1.4946294980812247e-08,3.44556986693619e-08,1.3382387476448642e-08,6.291519450786069e-08,1.5221554517627236e-06
8700.0,1.488727093032506e-08,3.4345492016921116e-08,1.3424592846987904e-08,6.297420724070109e-08,1.52225705242353e-06
8760.0,1.4830150609036268e-08,3.423793529149962e-08,1.3466053524062282e-08,6.303070373684575e-08,1.5223562180311596e-06
8820.0,1.4774838532635721e-08,3.413295027045199e-08,1.3506782710547307e-08,6.308540767749932e-08,1.5224530200420567e-06
8880.0,1.4721255155683466e-08,3.403046162216663e-08,1.3546793336397268e-08,6.313839809120154e-08,1.5225475273580802e-06
8940.0,1.4669325284796943e-08,3.39303967932505e-08,1.3586098096537174e-08,6.318974967719489e-08,1.5226398063546063e-06
9000.0,1.4618977823663074e-08,3.383268588596922e-08,1.3624709460850382e-08,6.323953305919167e-08,1.5227299209913703e-06
9060.0,1.4570145532102295e-08,3.3737261539351955e-08,1.3662639678840312e-08,6.328781502514958e-08,1.5228179329200524e-06
9120.0,1.4522764798635223e-08,3.364405881585395e-08,1.3699900783504275e-08,6.333465875361111e-08,1.5229039015868758e-06
9180.0,1.4476775425953767e-08,3.355301509377864e-08,1.3736504595009057e-08,6.338012402720384e-08,1.5229878843300004e-06
9240.0,1.4432120428696155e-08,3.34640699652745e-08,1.3772462724292411e-08,6.34242674338985e-08,1.5230699364718832e-06
9300.0,1.4388745842933608e-08,3.337716513962467e-08,1.3807786576622948e-08,6.346714255661351e-08,1.5231501114068685e-06
9360.0,1.4346600546789661e-08,3.3292244351530257e-08,1.3842487355126261e-08,6.350880015174123e-08,1.5232284606842612e-06
9420.0,1.4305636091628152e-08,3.3209253274098705e-08,1.38765760642765e-08,6.354928831715678e-08,1.5233050340871564e-06
9480.0,1.426580654326299e-08,3.312813943626352e-08,1.3910063513351164e-08,6.358865265025279e-08,1.5233798797072675e-06
9540.0,1.4227068332660658e-08,3.304885214437833e-08,1.3942960319846708e-08,6.362693639652608e-08,1.5234530440159888e-06
9600.0,1.4189380115625186e-08,3.297134240774579e-08,1.3975276912851669e-08,6.366418058922412e-08,1.523524571931902e-06
9660.0,1.4152702640974508e-08,3.2895562867855834e-08,1.4007023536375418e-08,6.370042418053914e-08,1.5235945068849356e-06
9720.0,1.4116998626736914e-08,3.282146773112337e-08,1.403821025263029e-08,6.373570416481912e-08,1.523662890877368e-06
9780.0,1.4082232643915614e-08,3.274901270492766e-08,1.4068846945265806e-08,6.377005569424515e-08,1.5237297645418441e-06
9840.0,1.4048371007389595e-08,3.267815493676851e-08,1.4098943322553742e-08,6.380351218740482e-08,1.523795167196582e-06
9900.0,1.4015381673538152e-08,3.2608852956365694e-08,1.4128508920523048e-08,6.383610543117237e-08,1.5238591368979228e-06
9960.0,1.3983234144195946e-08,3.254106662053846e-08,1.4157553106044242e-08,6.386786567628647e-08,1.5239217104903632e-06
10020.0,1.395189937656451e-08,3.247475706071254e-08,1.4186085079862671e-08,6.389882172699846e-08,1.523982923654223e-06
10080.0,1.392134969872456e-08,3.240988663291049e-08,1.4214113879580609e-08,6.392900102514459e-08,1.5240428109510638e-06
10140.0,1.3891558730411708e-08,3.2346418870091214e-08,1.4241648382587906e-08,6.395842972897828e-08,1.524101405866988e-06
10200.0,1.3862501308735616e-08,3.228431843671072e-08,1.4268697308942029e-08,6.398713278708098e-08,1.524158740853928e-06
10260.0,1.383415341853991e-08,3.222355108538601e-08,1.4295269224196768e-08,6.401513400765279e-08,1.5242148473690357e-06
10320.0,1.3806492127116312e-08,3.2164083615549304e-08,1.432137254218067e-08,6.404245612346811e-08,1.5242697559122753e-06
