x,phi
66.375,4.123655664491312e-31
66.625,5.380179983466938e-31
66.875,7.016371049171219e-31
67.125,9.14596499945051e-31
67.375,1.1916471452530155e-30
67.625,1.5519112617391822e-30
67.875,2.0201660561129293e-30
68.125,2.628500978148244e-30
68.375,3.418456172241145e-30
68.625,4.443780519732316e-30
68.875,5.773987086921393e-30
69.125,7.498934327814264e-30
69.375,9.734726142924686e-30
69.625,1.2631306825278639e-29
69.875,1.6382233082492586e-29
70.125,2.1237241148076537e-29
70.375,2.7518400690407776e-29
70.625,3.564086924335803e-29
70.875,4.6139544519761116e-29
71.125,5.970327415133867e-29
71.375,7.721874464746806e-29
71.625,9.982676103402182e-29
71.875,1.289943804718781e-28
72.125,1.666073212848647e-28
72.375,2.1508828924348545e-28
72.625,2.7754841667914264e-28
72.875,3.579809870885171e-28
73.125,4.6150913242833925e-28
73.375,5.947023868020936e-28
73.625,7.659810416226192e-28
73.875,9.861324050274761e-28
74.125,1.2689696149797937e-27
74.375,1.6321719609878965e-27
74.625,2.0983562009737936e-27
74.875,2.6964417074634816e-27
75.125,3.463389185446174e-27
75.375,4.446414111971813e-27
75.625,5.705803138595171e-27
75.875,7.31849596367475e-27
76.125,9.382638500666259e-27
76.375,1.2023367905209943e-26
76.625,1.5400159152388827e-26
76.875,1.971615011600876e-26
77.125,2.5229972194308164e-26
77.375,3.2270752355004203e-26
77.625,4.1257127448952134e-26
77.875,5.272133206632218e-26
78.125,6.733969874600936e-26
78.375,8.597125861849643e-26
78.625,1.097065698815701e-25
78.875,1.399294538132109e-25
79.125,1.7839501202160898e-25
79.375,2.273281702247194e-25
79.625,2.8954808793138086e-25
79.875,3.686251460558917e-25
80.125,4.690789457930272e-25
80.375,5.966279094568949e-25
80.625,7.585037765420731e-25
80.875,9.63847672036917e-25
81.125,1.2242086585484303e-24
81.375,1.5541709802715592e-24
81.625,1.972142828173632e-24
81.875,2.5013477291229618e-24
82.125,3.171069993939734e-24
82.375,4.018218556227795e-24
82.625,5.089289623661775e-24
82.875,6.4428286263117086e-24
83.125,8.152516950783847e-24
83.375,1.031104009536444e-23
83.625,1.3034932658771475e-23
83.875,1.647064382824835e-23
84.125,2.0802127046039503e-23
84.375,2.6260332134334522e-23
84.625,3.3135070845462003e-23
84.875,4.178984190132225e-23
85.125,5.268034443824117e-23
85.375,6.637758598152965e-23
85.625,8.359671078644143e-23
85.875,1.0523294665219799e-22
86.125,1.3240640554006467e-22
86.375,1.6651789078349697e-22
86.625,2.0931838018781114e-22
86.875,2.6299549304801307e-22
87.125,3.302810385752877e-22
87.375,4.1458471847540863e-22
87.625,5.201602605596151e-22
87.875,6.523117462295139e-22
88.125,8.176497274612684e-22
88.375,1.024408988283538e-21
88.625,1.2828425895253906e-21
88.875,1.605710263722001e-21
89.125,2.008883446423191e-21
89.375,2.5120944206478447e-21
89.625,3.1398634330233335e-21
89.875,3.9226454825274285e-21
90.125,4.898248114904138e-21
90.375,6.113583379965614e-21
90.625,7.626831616275998e-21
90.875,9.510112517582117e-21
91.125,1.1852780739011453e-20
91.375,1.4765490009932035e-20
91.625,1.8385202420639014e-20
91.875,2.2881359564439003e-20
92.125,2.846348115518273e-20
92.375,3.5390516561261024e-20
